datetime,open,high,low,close,volume,RSI_14,EMA_5,EMA_20,VWAP,ATR_14,rolling_mean_5,rolling_std_5,rolling_volume_mean_5
2025-04-25 09:16:00,101.61,101.61,98.02,98.02,67,0.0,100.25333333333334,101.05095238095238,99.63785046728972,3.335000000000001,99.695,2.3688077169749353,53.5
2025-04-25 09:17:00,98.52,101.57,98.25,101.24,68,49.010654490106475,100.58222222222224,101.06895691609978,99.91586666666666,3.4066666666666663,100.21,1.8977091452590948,58.333333333333336
2025-04-25 09:18:00,99.98,101.85,98.96,98.96,45,36.3841807909604,100.0414814814815,100.86810387647124,99.91739393939393,3.2775,99.8975,1.6707757679194024,55.0
2025-04-25 09:19:00,100.48,101.68,98.57,101.68,60,51.33967156439067,100.58765432098767,100.94542731680731,100.07295238095237,3.2440000000000024,100.25399999999999,1.651992736061516,56.0
2025-04-25 09:20:00,100.42,101.17,99.55,100.29,69,45.83333333333335,100.48843621399178,100.88300566758757,100.12509073543457,3.058333333333337,100.038,1.5361380146328023,61.8
2025-04-25 09:21:00,98.6,102.76,97.14,100.42,63,46.37127578304048,100.46562414266118,100.83890988972209,100.12227346278317,3.4242857142857184,100.518,1.0440881188865285,61.0
2025-04-25 09:22:00,101.03,101.9,98.82,100.38,50,46.2300076161462,100.43708276177412,100.79520418593904,100.14872294372294,3.381250000000005,100.346,0.9631095472478741,57.4
2025-04-25 09:23:00,99.31,102.6,98.02,100.75,62,47.70370370370369,100.54138850784942,100.79089902537342,100.18515903307888,3.5144444444444485,100.70400000000001,0.5726517266192629,60.8
2025-04-25 09:24:00,98.79,100.33,98.79,98.99,80,42.20183486238531,100.02425900523295,100.61938483248072,100.07719094922737,3.359000000000003,100.16600000000001,0.6800220584657521,64.8
2025-04-25 09:25:00,98.75,101.1,97.93,98.91,67,41.98174706649282,99.65283933682197,100.45658627700637,100.00091902632886,3.3418181818181836,99.89,0.8704883686758768,64.4
2025-04-25 09:26:00,98.8,101.66,98.8,100.58,55,47.67783656672544,99.96189289121466,100.46833996491051,100.02711202938475,3.301666666666668,99.922,0.8973683747491829,62.8
2025-04-25 09:27:00,100.63,103.09,98.85,100.48,44,47.39918176504968,100.13459526080979,100.46945044444286,100.071658008658,3.373846153846156,99.942,0.9111366527585166,61.6
